etablissement,commune,departement,adresse,type_structure,role_mis_en_cause,type_affaire,statut_judiciaire,statut_des_faits,enfants,url1,media1,date1,url2,media2,date2,resume_faits
École maternelle Les Aresquiers,Vic-la-Gardiole,Hérault,,maternelle,ATSEM,mixte,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/herault-lassistante-decole-maternelle-soupconnee-de-viols-demande-sa-remise-en-liberte-12-08-2025-B7HKIAIPSNBSFPXBE5PYJQNKVE.php,Le Parisien,2025-08-12,https://www.ladepeche.fr/2025/07/31/une-assistante-maternelle-mise-en-examen-pour-des-actes-de-penetration-digitale-et-de-masturbation-sur-neufs-enfants-dans-lherault-12853965.php,La Dépêche,2025-07-31,Une ATSEM a été mise en examen après des soupçons de viols et d'agressions sexuelles visant plusieurs enfants.
"École primaire Robert-Doisneau",Lucenay,Rhône,,autre,parent,mixte,mise en examen,allégué,plusieurs enfants,https://www.leprogres.fr/faits-divers-justice/2026/04/30/127-videos-et-197-photos-34-mineurs-victimes-du-parent-predateur-de-lucenay,Le Progrès,2026-04-30,https://www.ledauphine.com/faits-divers-justice/2026/04/29/un-homme-ecroue-pour-viols-sur-mineurs-aurait-fait-34-victimes-de-3-a-9-ans,Le Dauphiné Libéré,2026-04-29,"Un parent d'élève a été mis en examen pour viols, agressions sexuelles et enregistrements d'images pornographiques visant plusieurs enfants."
Collège Saint-Charles,Chauny,Aisne,,collège,enseignant,agression sexuelle,procès,allégué,1 enfant,https://www.cnews.fr/faits-divers/2026-03-03/un-enseignant-suspecte-davoir-eu-une-relation-avec-une-eleve-de-14-ans-juge,CNEWS,2026-03-03,https://www.leparisien.fr/faits-divers/aisne-un-enseignant-juge-pour-agressions-sexuelles-sur-une-collegienne-de-14-ans-07-01-2026-YFU7KRP3WRDZRCCADQQQH6L45E.php,Le Parisien,2026-01-07,Un enseignant de collège privé a été renvoyé devant le tribunal pour des agressions sexuelles rapportées sur une élève.
Lycée Bagatelle,Saint-Gaudens,Haute-Garonne,,lycée,direction,mixte,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/tu-deviendras-une-belle-femme-le-proviseur-adjoint-dun-lycee-de-haute-garonne-mis-en-examen-pour-le-viol-et-le-harcelement-de-lyceennes-19-01-2026-LBA2RQ3T2FA4DD27777UTTTJOE.php,Le Parisien,2026-01-19,https://www.actu17.fr/faits-divers/haute-garonne-un-ancien-proviseur-adjoint-mis-en-examen-pour-viols-et-agressions-sexuelles-sur-des-eleves.html,Actu17,2026-01,Un ancien proviseur adjoint de lycée a été mis en examen pour des faits sexuels rapportés par plusieurs lycéennes.
Collège Simone-Veil,La Bâtie-Neuve,Hautes-Alpes,,collège,enseignant,agression sexuelle,condamnation non définitive,retenu par jugement non définitif,1 enfant,https://www.ledauphine.com/faits-divers-justice/2026/02/20/coupable-d-agression-sexuelle-sur-une-eleve-un-professeur-de-college-condamne-a-de-la-prison-avec-sursis,Le Dauphiné Libéré,2026-02-20,https://alpesdusud.alpes1.com/news/hautes-alpes/110923/trois-mois-de-prison-avec-sursis-pour-un-professeur-de-la-batie-neuve,Alpes 1,2026-02-20,Un professeur de collège a été condamné en première instance pour agression sexuelle sur une élève.
Collège-lycée Saint-Joseph,Gap,Hautes-Alpes,,autre,enseignant,mixte,condamnation non définitive,retenu par jugement non définitif,plusieurs enfants,https://www.ledauphine.com/faits-divers-justice/2025/11/26/le-professeur-de-saint-joseph-accuse-d-abus-sexuels-pendant-dix-ans-condamne-a-de-la-prison-avec-sursis,Le Dauphiné Libéré,2025-11-26,https://alpesdusud.laradioplus.com/news/hautes-alpes/14462/prison-avec-sursis-pour-le-professeur-de-saint-joseph-a-gap,Alpes 1,2025-11-26,Un enseignant de collège-lycée privé a été condamné en première instance pour des faits sexuels rapportés par plusieurs élèves.
Collège de Quartier-Français,Sainte-Suzanne,La Réunion,,collège,enseignant,atteinte sexuelle,mise en examen,allégué,1 enfant,https://www.linfo.re/la-reunion/faits-divers/un-professeur-de-college-a-sainte-suzanne-suspecte-d-entretenir-une-relation-avec-une-eleve-il-est-mis-en-examen,Linfo.re,2026-04,https://www.zinfos974.com/le-prof-de-maths-soupconne-dentretenir-une-liaison-avec-une-eleve-a-sainte-suzanne-mis-en-examen/,Zinfos974,2026-04,Un enseignant de collège a été mis en examen après des soupçons de relation sexuelle avec une élève mineure de son établissement.
Crèche Rahariane,Saint-Paul,La Réunion,,crèche,personnel de crèche,agression sexuelle,relaxe / non-lieu / classement,non établi,plusieurs enfants,https://www.linfo.re/la-reunion/faits-divers/soupcons-d-agressions-sexuelles-dans-une-creche-a-saint-paul-l-affaire-classee-sans-suite,Linfo.re,2025-08,https://imazpress.com/toute-l-actu/creche-de-saint-paul-l-enquete-pour-agressions-sexuelles-classee-sans-suite,Imaz Press Réunion,2025-08,Des soupçons visant un employé de crèche ont donné lieu à une enquête finalement classée sans suite selon le parquet.
Crèche Joyeuse Tribu,Lyon 6e,Rhône,,crèche,personnel de crèche,agression sexuelle,relaxe / non-lieu / classement,non établi,1 enfant,https://www.leprogres.fr/faits-divers-justice/2025/06/20/un-salarie-suspecte-de-comportement-inapproprie-dans-deux-creches-people-baby-encore-dans-la-tourmente,Le Progrès,2025-06-20,https://www.magicmaman.com/creche-un-employe-de-people-baby-soupconne-d-agressions-sexuelles-sur-des-enfants%2C3774602.asp,Magicmaman,2025-06-20,"Dans cette crèche, une plainte a visé un salarié après un signalement d'un enfant; l'enquête a ensuite été classée sans suite selon la presse."
Crèche Chat Perché,Lyon 3e,Rhône,,crèche,personnel de crèche,violences sexuelles,plainte,allégué,1 enfant,https://www.leprogres.fr/faits-divers-justice/2025/06/20/un-salarie-suspecte-de-comportement-inapproprie-dans-deux-creches-people-baby-encore-dans-la-tourmente,Le Progrès,2025-06-20,https://www.magicmaman.com/creche-un-employe-de-people-baby-soupconne-d-agressions-sexuelles-sur-des-enfants%2C3774602.asp,Magicmaman,2025-06-20,"Dans une seconde crèche du même groupe, un salarié déjà signalé a fait l'objet d'un nouveau signalement à caractère sexuel concernant un enfant."
