etablissement,commune,departement,adresse,type_structure,role_mis_en_cause,type_affaire,statut_judiciaire,statut_des_faits,enfants,url1,media1,date1,url2,media2,date2,resume_faits
École maternelle Alphonse-Baudin,Paris 11e,Paris,,maternelle,animateur périscolaire,agression sexuelle,procès,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/temoignage-des-parents-denegations-le-recit-du-proces-de-lanimateur-de-lecole-alphonse-baudin-pour-agressions-sexuelles-26-05-2026-XZMM7W3I3RBJJCHNDOOHGF22YE.php,Le Parisien,2026-05-26,https://www.tf1info.fr/justice-faits-divers/paris-un-animateur-du-periscolaire-juge-ce-mardi-pour-agressions-sexuelles-sur-des-enfants-de-3-a-5-ans-2443457.html,TF1 Info,2026-05-25,Un animateur périscolaire est jugé pour des agressions sexuelles présumées rapportées par la presse dans une école maternelle.
École Titon,Paris 11e,Paris,,élémentaire,animateur périscolaire,mixte,procès,allégué,plusieurs enfants,https://www.leparisien.fr/paris-75/periscolaire-a-paris-apres-le-proces-dun-animateur-accuse-dagressions-sexuelles-un-collectif-de-parents-decu-des-requisitions-06-05-2026-RQ23CENIGNHQHG5IY5W22VR2Z4.php,Le Parisien,2026-05-06,https://www.magicmaman.com/ecole-titon-paris-proces-periscolaire-animateur-agressions-sexuelles-harcelement-sexuel%2C3782776.asp,Magicmaman,2026-05,Un animateur périscolaire est poursuivi dans un dossier mêlant harcèlement sexuel et agressions sexuelles présumées selon la presse.
École maternelle Bullourde,Paris 11e,Paris,Passage Bullourde,maternelle,animateur périscolaire,mixte,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/paris-a-lecole-bullourde-un-troisieme-animateur-suspendu-apres-une-suspicion-dagression-sexuelle-14-10-2025-RH7PXY7F3RDTLM7C7CA5YFHLRA.php,Le Parisien,2025-10-14,https://www.ladepeche.fr/2026/02/07/un-animateur-de-maternelle-mis-en-examen-pour-agressions-sexuelles-a-paris-13212992.php,La Dépêche,2026-02-07,Des animateurs périscolaires ont été suspendus et l'un mis en examen dans une affaire de faits sexuels présumés rapportée par la presse.
École maternelle Voltaire,Paris 11e,Paris,,maternelle,animateur périscolaire,viol,enquête,allégué,1 enfant,https://www.leparisien.fr/paris-75/paris-un-animateur-periscolaire-suspendu-pour-un-viol-sur-un-enfant-de-trois-ans-27-03-2026-RC37EXX6FRCSPLA2SQC6PL2HKI.php,Le Parisien,2026-03-27,https://actu17.fr/faits-divers/paris-un-animateur-periscolaire-suspendu-soupconne-du-viol-dun-enfant-de-3-ans.html,Actu17,2026-03-27,Un animateur périscolaire a été suspendu après une plainte visant un viol présumé dans une école maternelle.
École Aqueduc,Paris 10e,Paris,,maternelle,animateur périscolaire,agression sexuelle,procès,allégué,1 enfant,https://www.lecourrierdesstrateges.fr/paris-un-animateur-periscolaire-renvoye-devant-le-tribunal-pour-agression-sexuelle/,Le Courrier des Stratèges,2026-03,https://www.leparisien.fr/paris-75/paris-trois-hommes-dont-deux-animateurs-periscolaires-interpelles-pour-agressions-sexuelles-sur-douze-enfants-a-lecole-20-03-2026-JPKBOBEW5BBTZEMR6FDSHUOOVY.php,Le Parisien,2026-03-20,Un animateur périscolaire est renvoyé devant le tribunal dans une affaire d'agression sexuelle présumée rapportée par la presse.
École Aqueduc,Paris 10e,Paris,,maternelle,enseignant,agression sexuelle,enquête,allégué,plusieurs enfants,https://www.leparisien.fr/paris-75/paris-trois-hommes-dont-deux-animateurs-periscolaires-interpelles-pour-agressions-sexuelles-sur-douze-enfants-a-lecole-20-03-2026-JPKBOBEW5BBTZEMR6FDSHUOOVY.php,Le Parisien,2026-03-20,https://www.cnews.fr/faits-divers/2026-03-20/violences-sexuelles-dans-le-periscolaire-paris-trois-hommes-dont-deux,CNEWS,2026-03-20,Un enseignant a été placé en garde à vue dans une enquête pour agressions sexuelles présumées selon des sources publiques.
École Grands Champs,Paris 20e,Paris,,maternelle,tiers,agression sexuelle,enquête,allégué,plusieurs enfants,https://www.leparisien.fr/paris-75/paris-trois-hommes-dont-deux-animateurs-periscolaires-interpelles-pour-agressions-sexuelles-sur-douze-enfants-a-lecole-20-03-2026-JPKBOBEW5BBTZEMR6FDSHUOOVY.php,Le Parisien,2026-03-20,https://www.cnews.fr/faits-divers/2026-03-20/violences-sexuelles-dans-le-periscolaire-paris-trois-hommes-dont-deux,CNEWS,2026-03-20,Un tiers lié à l'école est visé dans une enquête pour agressions sexuelles présumées rapportée par la presse.
École Vigée Lebrun,Paris 15e,Paris,,élémentaire,animateur périscolaire,agression sexuelle,enquête,allégué,plusieurs enfants,https://www.leparisien.fr/paris-75/paris-trois-hommes-dont-deux-animateurs-periscolaires-interpelles-pour-agressions-sexuelles-sur-douze-enfants-a-lecole-20-03-2026-JPKBOBEW5BBTZEMR6FDSHUOOVY.php,Le Parisien,2026-03-20,https://www.cnews.fr/faits-divers/2026-03-20/violences-sexuelles-dans-le-periscolaire-paris-trois-hommes-dont-deux,CNEWS,2026-03-20,Un animateur périscolaire est visé dans une enquête pour agressions sexuelles présumées rapportée par la presse.
École Volontaires,Paris 15e,Paris,,maternelle,animateur périscolaire,viol,plainte,allégué,plusieurs enfants,https://www.europe1.fr/police-justice/periscolaire-a-paris-une-famille-reclame-un-juge-dinstruction-apres-une-plainte-pour-viol-911272,Europe 1,2026-03-10,https://www.publicsenat.fr/actualites/politique/violences-sexuelles-dans-le-periscolaire-a-paris-la-crise-enflamme-la-campagne-municipale-a-paris,Public Sénat,2026-03,Un animateur périscolaire est visé par des plaintes pour viols présumés selon plusieurs médias.
École maternelle Saint-Dominique,Paris 7e,Paris,,maternelle,animateur périscolaire,violences sexuelles,enquête,allégué,plusieurs enfants,https://www.cnews.fr/france/2026-02-16/paris-neuf-animateurs-dune-ecole-maternelle-suspendus-pour-violences-physiques-et,CNEWS,2026-02-16,https://commons-media.fr/local/violences-dans-le-periscolaire-a-paris-neuf-animateurs-suspendus-apres-une-enquete-en-camera-cachee-cash-investigation-enquetes-administratives-et-judiciaires-en-cours-audits-demandes-a-la-caspe/,Commons Média,2026-02,Des agents périscolaires ont été suspendus après des suspicions de violences physiques et sexuelles rapportées par la presse.
